Date	SPY
1994-06-27	26.303419
1994-06-28	26.175083
1994-06-29	26.257586
1994-06-30	26.092558
1994-07-01	26.147572
1994-07-05	26.285091
1994-07-06	26.248434
1994-07-07	26.358448
1994-07-08	26.349283
1994-07-11	26.257586
1994-07-12	26.294273
1994-07-13	26.34008
1994-07-14	26.624302
1994-07-15	26.633499
1994-07-18	26.679323
1994-07-19	26.624302
1994-07-20	26.505129
1994-07-21	26.560125
1994-07-22	26.60598
1994-07-25	26.642643
1994-07-26	26.61515
1994-07-27	26.61515
1994-07-28	26.670164
1994-07-29	26.936031
1994-08-01	27.0644
1994-08-02	27.101046
1994-08-03	27.110218
1994-08-04	26.954367
1994-08-05	26.862688
1994-08-08	26.926859
1994-08-09	26.9727
1994-08-10	27.073542
1994-08-11	26.9727
1994-08-12	27.183563
1994-08-15	27.174404
1994-08-16	27.366917
1994-08-17	27.348602
1994-08-18	27.256918
1994-08-19	27.238575
1994-08-22	27.211075
1994-08-23	27.366917
1994-08-24	27.660316
1994-08-25	27.586977
1994-08-26	27.981205
1994-08-29	27.962854
1994-08-30	28.036221
1994-08-31	27.962854
1994-09-01	27.871183
1994-09-02	27.752003
1994-09-06	27.761148
1994-09-07	27.73366
1994-09-08	27.871183
1994-09-09	27.577797
1994-09-12	27.495293
1994-09-13	27.577797
1994-09-14	27.605301
1994-09-15	27.953676
1994-09-16	27.754749
1994-09-19	27.782433
1994-09-20	27.256664
1994-09-21	27.256664
1994-09-22	27.192097
1994-09-23	27.099855
1994-09-26	27.238218
1994-09-27	27.219763
1994-09-28	27.431919
1994-09-29	27.293558
1994-09-30	27.256664
1994-10-03	27.192097
1994-10-04	26.786236
1994-10-05	26.795467
1994-10-06	26.712448
1994-10-07	26.832371
1994-10-10	27.118305
1994-10-11	27.524153
1994-10-12	27.561047
1994-10-13	27.653286
1994-10-14	27.773216
1994-10-17	27.717834
1994-10-18	27.653286
1994-10-19	27.782433
1994-10-20	27.597937
1994-10-21	27.487263
1994-10-24	27.256664
1994-10-25	27.284348
1994-10-26	27.385796
1994-10-27	27.551847
1994-10-28	28.132929
1994-10-31	28.031481
1994-11-01	27.717834
1994-11-02	27.561047
1994-11-03	27.708656
1994-11-04	27.3489
1994-11-07	27.431919
1994-11-08	27.644073
1994-11-09	27.69018
1994-11-10	27.496489
1994-11-11	27.395023
1994-11-14	27.653286
1994-11-15	27.561047
1994-11-16	27.653286
1994-11-17	27.468815
1994-11-18	27.431919
1994-11-21	27.155201
1994-11-22	26.564875
1994-11-23	26.712448
1994-11-25	26.841587
1994-11-28	26.9615
1994-11-29	26.952293
1994-11-30	26.915373
1994-12-01	26.647896
1994-12-02	26.896917
1994-12-05	26.924599
1994-12-06	26.943062
1994-12-07	26.749359
1994-12-08	26.491062
1994-12-09	26.592545
1994-12-12	26.767792
1994-12-13	26.869251
1994-12-14	27.007624
1994-12-15	27.090639
1994-12-16	27.222967
1994-12-19	27.260147
1994-12-20	27.176468
1994-12-21	27.464684
1994-12-22	27.381006
1994-12-23	27.408905
1994-12-27	27.557652
1994-12-28	27.418211
1994-12-29	27.436792
1994-12-30	27.111383
1995-01-03	27.241558
1995-01-04	27.371714
1995-01-05	27.371714
1995-01-06	27.399603
1995-01-09	27.427483
1995-01-10	27.455397
1995-01-11	27.473986
1995-01-12	27.48328
1995-01-13	27.808697
1995-01-16	27.976042
1995-01-17	27.985338
1995-01-18	27.957445
1995-01-19	27.799395
1995-01-20	27.697121
1995-01-23	27.780811
1995-01-24	27.817987
1995-01-25	27.89237
1995-01-26	27.920261
1995-01-27	28.031834
1995-01-30	27.910963
1995-01-31	28.022551
1995-02-01	28.013233
1995-02-02	28.180586
1995-02-03	28.580397
1995-02-06	28.70125
1995-02-07	28.738432
1995-02-08	28.738432
1995-02-09	28.738432
1995-02-10	28.775661
1995-02-13	28.784931
1995-02-14	28.822132
1995-02-15	28.980169
1995-02-16	28.942976
1995-02-17	28.831421
1995-02-21	28.822132
1995-02-22	29.035952
1995-02-23	29.08246
1995-02-24	29.15682
1995-02-27	28.924377
1995-02-28	29.166119
1995-03-01	28.980169
1995-03-02	29.017347
1995-03-03	29.02668
1995-03-06	29.045269
1995-03-07	28.822132
1995-03-08	28.896481
1995-03-09	28.887207
1995-03-10	29.314886
1995-03-13	29.286991
1995-03-14	29.50082
1995-03-15	29.445049
1995-03-16	29.621687
1995-03-17	29.651157
1995-03-20	29.651157
1995-03-21	29.576389
1995-03-22	29.604425
1995-03-23	29.623119
1995-03-24	30.043762
1995-03-27	30.165293
1995-03-28	30.165293
1995-03-29	30.155947
1995-03-30	30.099855
1995-03-31	29.978334
1995-04-03	30.053114
1995-04-04	30.249413
1995-04-05	30.249413
1995-04-06	30.361595
1995-04-07	30.333544
1995-04-10	30.389629
1995-04-11	30.28681
1995-04-12	30.389629
1995-04-13	30.557901
1995-04-17	30.380278
1995-04-18	30.277456
1995-04-19	30.249413
1995-04-20	30.296156
1995-04-21	30.445717
1995-04-24	30.800932
1995-04-25	30.716816
1995-04-26	30.744848
1995-04-27	30.819647
1995-04-28	30.866369
1995-05-01	30.782248
1995-05-02	30.847679
1995-05-03	31.277678
1995-05-04	31.258982
1995-05-05	31.221594
1995-05-08	31.44593
1995-05-09	31.417896
1995-05-10	31.455275
1995-05-11	31.539413
1995-05-12	31.5581
1995-05-15	31.707663
1995-05-16	31.72636
